,rt,response,Chosen_Monster,trial_type,trial_index,time_elapsed,design_file,leftstim,rightstim,Color_d,Cuteness_d,Emotions_d,Personal_Preference_d,Shape_d,Size_d
4,4267,ArrowRight,0,html-keyboard-response,4,81105,PP050.csv,obj14.png,obj03.png,54.0,335.0,676.0,543.0,283.0,205.0
5,3232,ArrowRight,0,html-keyboard-response,5,85769,PP050.csv,obj07.png,obj06.png,325.0,-66.0,126.0,228.0,334.0,-468.0
6,3657,ArrowLeft,1,html-keyboard-response,6,90834,PP050.csv,obj09.png,obj11.png,155.0,-207.0,-97.0,-373.0,115.0,-614.0
7,2870,ArrowLeft,1,html-keyboard-response,7,95117,PP050.csv,obj03.png,obj13.png,-109.0,-381.0,-611.0,-482.0,-343.0,102.0
8,5316,ArrowLeft,1,html-keyboard-response,8,101852,PP050.csv,obj02.png,obj07.png,-56.0,-74.0,200.0,-168.0,-72.0,214.0
9,3299,ArrowLeft,1,html-keyboard-response,9,106566,PP050.csv,obj04.png,obj00.png,97.0,-244.0,174.0,56.0,57.0,298.0
10,2221,ArrowRight,0,html-keyboard-response,10,110200,PP050.csv,obj09.png,obj05.png,715.0,267.0,253.0,207.0,-135.0,-466.0
11,2922,ArrowLeft,1,html-keyboard-response,11,114549,PP050.csv,obj13.png,obj14.png,55.0,46.0,-65.0,-61.0,60.0,-307.0
12,1393,ArrowLeft,1,html-keyboard-response,12,117346,PP050.csv,obj07.png,obj13.png,442.0,-567.0,-546.0,-364.0,-387.0,-413.0
13,1756,ArrowLeft,1,html-keyboard-response,13,120516,PP050.csv,obj09.png,obj00.png,434.0,-332.0,127.0,-129.0,-359.0,-228.0
14,3368,ArrowLeft,1,html-keyboard-response,14,125313,PP050.csv,obj01.png,obj20.png,-381.0,-497.0,-516.0,-581.0,-470.0,-225.0
15,2217,ArrowRight,0,html-keyboard-response,15,128947,PP050.csv,obj20.png,obj09.png,-273.0,153.0,-57.0,313.0,534.0,159.0
16,1351,ArrowRight,0,html-keyboard-response,16,131713,PP050.csv,obj11.png,obj02.png,-45.0,413.0,283.0,473.0,-312.0,538.0
17,2303,ArrowRight,0,html-keyboard-response,17,135430,PP050.csv,obj03.png,obj01.png,49.0,398.0,122.0,218.0,249.0,443.0
18,3164,ArrowRight,0,html-keyboard-response,18,140013,PP050.csv,obj12.png,obj03.png,399.0,212.0,133.0,301.0,171.0,41.0
19,5343,ArrowLeft,1,html-keyboard-response,19,146778,PP050.csv,obj02.png,obj06.png,269.0,-140.0,326.0,60.0,262.0,-254.0
20,1533,ArrowRight,0,html-keyboard-response,20,149726,PP050.csv,obj07.png,obj05.png,661.0,135.0,-133.0,275.0,134.0,-604.0
21,1577,ArrowRight,0,html-keyboard-response,21,152729,PP050.csv,obj20.png,obj07.png,-219.0,285.0,329.0,245.0,265.0,297.0
22,1410,ArrowLeft,1,html-keyboard-response,22,155560,PP050.csv,obj04.png,obj13.png,159.0,-347.0,-113.0,-247.0,-240.0,251.0
23,1590,ArrowRight,0,html-keyboard-response,23,158560,PP050.csv,obj11.png,obj04.png,182.0,119.0,50.0,188.0,-531.0,88.0
24,966,ArrowRight,0,html-keyboard-response,24,160942,PP050.csv,obj14.png,obj05.png,164.0,656.0,478.0,700.0,461.0,116.0
25,1995,ArrowLeft,1,html-keyboard-response,25,164357,PP050.csv,obj01.png,obj04.png,-317.0,-432.0,-620.0,-453.0,-352.0,-592.0
26,1247,ArrowLeft,1,html-keyboard-response,26,167023,PP050.csv,obj09.png,obj12.png,206.0,-266.0,318.0,-251.0,-484.0,-418.0
27,1474,ArrowRight,0,html-keyboard-response,27,169908,PP050.csv,obj11.png,obj07.png,-101.0,339.0,483.0,305.0,-384.0,752.0
28,3965,ArrowRight,0,html-keyboard-response,28,175292,PP050.csv,obj03.png,obj09.png,-605.0,54.0,-451.0,-50.0,313.0,377.0
